@RELATION performance

@ATTRIBUTE name string
@ATTRIBUTE cpu numeric
@ATTRIBUTE mem numeric
@ATTRIBUTE proc numeric

@DATA
server92,10.06964,10.7852,9.020514
server93,10.1569,10.72135,8.967647
server94,10.06529,10.73044,8.955818
server95,10.02958,10.73976,8.944262
server96,10.03189,10.73055,9.008425
server97,10.03678,10.74938,8.932462
server98,10.05325,10.74695,8.85707
server99,10.03082,10.74902,8.758301
server100,10.04955,10.68812,8.775409
server101,10.1269,10.68223,8.752145
server102,10.11557,10.66438,8.741513
server103,10.05532,10.66602,8.719117
server104,10.08148,10.65592,8.839582
server105,10.11912,10.68759,8.793144
server106,10.15597,10.69221,8.782528
server107,10.16849,10.65987,8.760635
server108,10.11079,10.66911,8.784706
server109,10.12351,10.66267,8.763235
server110,10.1017,10.67915,8.82025
server111,10.09164,10.62287,8.809892
server112,10.15126,10.58084,8.779794
server113,10.20748,10.57017,8.824166
server114,10.41758,10.55095,8.729223
server115,10.53663,10.54146,8.710431
server116,10.5876,10.54116,8.670034
server117,10.58535,10.51775,8.631294
server118,10.616,10.50455,8.66646
server119,10.63339,10.47777,8.64804
server120,10.60889,10.4474,8.650238
server121,10.63633,10.46552,8.6122
server122,10.59508,10.45674,8.587368
server123,10.59502,10.48569,8.602469
server124,10.52156,10.5011,8.65394
server125,10.43945,10.3777,8.811257
server126,10.36862,10.47612,9.042809
server127,10.37717,10.45748,9.051025
server128,10.44472,10.08476,9.069416
server129,10.44676,10.10043,9.078094
server130,10.36952,10.11728,9.114632
server131,10.31241,10.11744,9.147359
server132,10.28232,10.09643,9.131957
server133,10.25737,10.09933,9.130076
server134,10.23364,10.1134,9.101687
server135,10.1832,10.1182,9.092559
server136,10.15271,10.10619,9.084342
server137,10.1225,10.1097,9.076204
server138,10.14387,10.0976,9.055963
server139,10.11021,10.10144,9.027901
server140,10.10484,10.09868,9.046821
server141,10.10672,10.08364,9.055118
server142,10.11746,10.09703,9.054605
server143,10.05034,10.11226,9.055661
server144,10.0517,10.06978,8.857729
server145,10.05669,10.06859,9.019741
server146,10.10127,10.05545,9.027191
server147,10.06187,10.67481,9.045184
server148,10.11514,10.08677,9.053087
server149,10.15327,10.05086,9.005288
server150,10.14541,9.997639,9.012629
server151,10.1586,10.00213,9.023536
server152,10.13015,10.0207,9.010029
server153,10.08562,10.01975,9.012772
server154,10.139,10.03949,9.038692
server155,10.04221,10.03568,8.99802
server156,9.971786,10.08839,9.092339
server157,9.982389,10.30774,9.138483
server158,10.00874,10.34973,9.176233
server159,10.02764,10.31703,9.167951
server160,9.999216,10.2872,8.930211
server161,10.22825,10.28551,8.923685
server162,10.22824,10.25889,8.915899
server163,10.22055,10.25867,8.923215
server164,10.21296,10.2618,8.930433
server165,10.20253,10.28937,8.948927
server166,10.18009,10.31332,9.007353
server167,10.40497,10.34798,8.962747
server168,10.54516,10.33172,8.943385
server169,10.54868,10.33074,8.940132
server170,10.5522,10.33258,8.936882
server171,10.56317,10.33625,8.933634
server172,10.56432,10.33638,8.927145
server173,10.578,10.33469,8.933237
server174,10.57678,10.33098,8.932067
server175,10.57103,10.2939,8.92188
server176,10.58737,10.28981,8.926141
server177,10.60042,10.30406,8.919419
server178,10.59079,10.31115,8.919225
server179,10.58205,10.31126,8.947775
server180,10.55834,10.29288,8.933436
server181,10.55627,10.25548,8.967863
server182,10.54008,10.26897,8.967373
server183,10.5803,10.25228,8.960033
server184,10.61304,10.22861,8.959597
server185,10.61069,10.20882,8.972709
server186,10.59456,10.20266,8.999125
server187,10.55121,10.196,8.97839
server188,10.51663,10.19782,8.972398
server189,10.47425,10.20258,8.958678
server190,10.50647,10.20063,8.951692
server191,10.5383,10.22725,8.957857
server192,10.55049,10.23162,8.964532
server193,10.56846,10.23795,8.951175
server194,10.6383,10.24647,8.961173
server195,10.6623,10.20841,8.958853
server196,10.66571,10.19555,8.959224
server197,10.72127,10.18636,8.966527
server198,10.66079,10.1879,8.966652
server199,10.64147,10.12855,8.962294
server200,10.669,10.12414,8.957202
server201,10.74439,10.11343,8.938547
server202,10.69738,10.11292,8.957553
server203,10.7336,10.12303,8.957725
server204,10.74921,10.11798,8.945608
server205,10.76593,10.13073,8.952005
server206,10.76323,10.10032,8.962091
server207,10.76096,10.10414,9.005491
server208,10.77114,10.09682,8.993264
server209,10.78189,10.10514,8.975675
server210,10.7734,10.11343,8.975744
server211,10.79013,10.14839,9.006211
server212,10.83171,10.15367,9.019072
server213,10.91989,10.16662,9.005972
server214,10.88005,10.12302,9.017117
server215,10.88925,10.10646,9.040374
server216,10.92753,10.108,9.027939
server217,10.95354,10.08763,9.038796
server218,10.97338,10.09524,9.049539
server219,10.99888,10.09113,9.037249
server220,11.00076,10.08837,9.030787
server221,11.00843,10.10619,9.018718
server222,10.99867,10.16102,9.006772
server223,10.966,10.095,9.023021
server224,10.98517,10.11544,9.027933
server225,11.00985,10.1286,9.021679
server226,11.02532,10.12014,9.008809
server227,11.03265,10.13189,9.013727
server228,11.05177,10.10072,8.997147
server229,11.05393,10.07698,8.986188
server230,11.05544,10.0518,8.985712
server231,11.01939,10.04866,8.997026
server232,11.0327,10.02178,8.986225
server233,11.01295,10.01419,8.991592
server234,11.02556,9.981108,8.975111
server235,11.04951,9.958318,8.969871
server236,11.05702,9.945841,8.96468
server237,11.04291,9.935305,8.970047
server238,11.02894,9.923664,8.964904
server239,11.04177,9.906802,8.965015
server240,11.04975,9.914816,8.965589
server241,11.09937,9.905616,8.965695
server242,11.09182,9.901427,8.952234
server243,11.15068,9.90497,8.951943
server244,11.15746,9.891638,8.957199
server245,11.1486,9.871839,8.937076
server246,11.15991,9.883583,8.9419
server247,11.1414,9.886862,8.977706
server248,11.09632,9.906262,8.962311
server249,11.1281,9.984333,8.976911
server250,11.13423,9.980631,8.971564
server251,11.12009,9.971182,8.995857
server252,11.09434,9.906785,8.958743
server253,11.12504,9.900221,8.9561
server254,11.16663,9.899531,8.95435
server255,11.17808,9.900877,8.957401
server256,11.17889,9.90347,8.957103
server257,11.16982,9.919087,8.961627
server258,11.19032,9.93285,8.961313
server259,11.15855,9.922086,8.948074
server260,11.17897,9.887753,8.966899
server261,11.17221,9.864647,8.958769
server262,11.1838,9.840626,8.964049
server263,11.19903,9.831661,8.968441
server264,11.19708,9.854713,8.965097
server265,11.19832,9.847761,8.95118
server266,11.19954,9.83715,8.955988
server267,11.19654,9.83769,8.970438
server268,11.20669,9.828214,8.965485
server269,11.20075,9.869035,8.962786
server270,11.19484,9.865585,8.964693
server271,11.17208,9.861012,8.959802
server272,11.18221,9.8698,8.959511
server273,11.18761,9.856897,8.959223
server274,11.14663,9.854036,8.954414
server275,11.15113,9.834314,8.947084
server276,11.13973,9.86446,8.952543
server277,11.13147,9.868514,8.952287
server278,11.12328,9.859911,8.960941
server279,11.13838,9.853701,8.943306
server280,11.13173,9.844182,8.948694
server281,11.11462,9.845887,8.966064
server282,11.14704,9.834629,8.961375
server283,11.15684,9.823985,8.956723
server284,11.14428,9.811646,8.947758
server285,11.13626,9.813405,8.934529
server286,11.15041,9.79997,8.92572
server287,11.14683,9.794892,8.90408
server288,11.13451,9.795537,8.904022
server289,11.12277,9.784955,8.90861
server290,11.16723,9.784923,8.904284
server291,11.16124,9.764874,8.909969
server292,11.14952,9.823022,8.906421
server293,11.22067,9.891117,8.894867
server294,11.24265,9.896921,8.907408
server295,11.20988,9.90691,8.916427
server296,11.23175,9.917511,8.924637
server297,11.28314,9.907422,8.941069
server298,11.27642,9.891429,8.941982
server299,11.26832,9.843227,8.929452
server300,11.24911,9.883171,8.914014
server301,11.20773,9.957386,8.848618
server302,11.1958,9.955351,8.8325
server303,11.20886,9.948257,8.848912
server304,11.2301,9.939437,8.869242
server305,11.21688,9.935932,8.875478
server306,11.2092,9.947249,8.859491
server307,11.21603,9.948958,8.865731
server308,11.22758,9.945258,8.850336
server309,11.27215,9.94104,8.832204
server310,11.24446,9.926856,8.828786
server311,11.23769,9.92298,8.833657
server312,11.23813,9.903952,8.822022
server313,11.22248,9.860805,8.826188
server314,11.22298,9.868318,8.814661
server315,11.21148,9.856076,8.822726
server316,11.23237,9.838537,8.799969
server317,11.22489,9.846252,8.804154
server318,11.21351,9.864332,8.792864
server319,11.20265,9.873596,8.80508
server320,11.20992,9.874394,8.815734
server321,11.19535,9.873894,8.800859
server322,11.18941,9.867192,8.813637
server323,11.19782,9.874269,8.821513
server324,11.20703,9.857357,8.792043
server325,11.21187,9.843503,8.804056
server326,11.2086,9.840558,8.802777
server327,11.21261,9.816558,8.786123
server328,11.21661,9.795612,8.773312
server329,11.20908,9.775147,8.775541
server330,11.21045,9.758424,8.776576
server331,11.21442,9.73631,8.771342
server332,11.18876,9.720863,8.753522
server333,11.18823,9.720538,8.75199
server334,11.19637,9.714858,8.745065
server335,11.19108,9.638227,8.757862
server336,11.18789,9.617833,8.739964
server337,11.1997,9.617457,8.747762
server338,11.21516,9.658643,8.719088
server339,11.21565,9.656541,8.719643
server340,11.20913,9.642895,8.716891
server341,11.22113,9.630159,8.706943
server342,11.20769,9.639008,8.718944
server343,11.20861,9.638158,8.705469
server344,11.2128,9.64406,8.730301
server345,11.21369,9.633513,8.723995
server346,11.22185,9.611631,8.724832
server347,11.22997,9.61307,8.722124
server348,11.21313,9.619192,8.723885
server349,11.2068,9.600029,8.710642
server350,11.19333,9.584113,8.704496
server351,11.19427,9.58515,8.701884
server352,11.17378,9.57756,8.688833
server353,11.17438,9.559514,8.68251
server354,11.15408,9.566049,8.676527
server355,11.15866,9.571967,8.674033
server356,11.14911,9.578579,8.671555
server357,11.22047,9.589374,8.672524
server358,11.2143,9.596354,8.676908
server359,11.21515,9.589396,8.688088
server360,11.20903,9.585157,8.671995
server361,11.20642,9.593883,8.676341
server362,11.20036,9.592316,8.687422
server363,11.20469,9.597329,8.678215
server364,11.20862,9.636509,8.675492
server365,11.20565,9.489405,8.676136
server366,11.20309,9.263668,8.680405
server367,11.19752,9.273098,8.698258
server368,11.19461,9.267493,8.692188
server369,11.18608,9.261421,8.690326
server370,11.18323,9.252542,8.694217
server371,11.18827,9.256879,8.698943
server372,11.16564,9.261122,8.716198
server373,11.18335,9.262675,8.710448
server374,11.17757,9.2741,8.714519
server375,11.18219,9.271386,8.712343
server376,11.19269,9.269894,8.686908
server377,11.20101,9.267354,8.686221
server378,11.2126,9.264128,8.691999
server379,11.20718,9.252945,8.689908
server380,11.22117,9.253553,8.693976
server381,11.22486,9.243219,8.688131
server382,11.21474,9.240807,8.674676
server383,11.213,9.238969,8.679305
server384,11.20078,9.241362,8.696067
server385,11.20774,9.241224,8.668103
server386,11.21142,9.244663,8.643457
server387,11.20434,9.252085,8.620581
server388,11.19735,9.23371,8.624701
server389,11.19302,9.229403,8.620906
server390,11.20313,9.260364,8.59659
server391,11.18118,9.254173,8.600538
server392,11.16892,9.249653,8.595113
server393,11.17336,9.244474,8.584038
server394,11.1746,9.21115,8.58542
server395,11.1593,9.21589,8.586264
server396,11.19144,9.221656,8.574775
server397,11.19192,9.222306,8.594086
server398,11.18769,9.215563,8.593462
server399,11.18817,9.215963,8.582021
server400,11.19805,9.199867,8.558421
server401,11.20442,9.295564,8.570558
server402,11.19933,9.298123,8.581069
server403,11.17949,9.29798,8.57481
server404,11.17999,9.288961,8.581717
server405,11.16812,9.290957,8.579533
server406,11.1779,9.287838,8.571343
server407,11.16953,9.27809,8.572458
server408,11.17183,9.276154,8.56886
server409,11.17575,9.270505,8.561009
server410,11.15183,9.272387,8.573813
server411,11.16762,9.262455,8.562764
server412,11.15296,9.263047,8.557704
server413,11.14651,9.259201,8.545363
server414,11.14881,9.253392,8.544809
server415,11.13428,9.255258,8.566372
server416,11.13488,9.254114,8.555457
server417,11.13117,9.248112,8.552632
server418,11.13212,9.251876,8.577204
server419,11.12375,9.258831,8.580945
server420,11.12769,9.253688,8.57326
server421,11.13162,9.250107,8.571429
server422,11.13256,9.25821,8.569606
server423,11.1246,9.259288,8.570685
server424,11.1226,9.264284,8.568874
server425,11.12355,9.277504,8.572826
server426,11.10687,9.266985,8.576758
server427,11.10621,9.250861,8.573559
server428,11.09385,9.263054,8.577807
server429,11.08284,9.254429,8.578606
server430,11.0719,9.247297,8.573707
server431,11.06392,9.245619,8.577352
server432,11.07339,9.254374,8.569648
server433,11.07702,9.240253,8.559157
server434,11.08641,9.255765,8.554356
server435,11.08135,9.26137,8.56926
server436,11.08781,9.25541,8.561653
server437,11.09424,9.270334,8.55968
server438,11.09809,9.294147,8.552375
server439,11.0845,9.303876,8.550434
server440,11.0852,9.303466,8.542951
server441,11.06919,9.29689,8.546819
server442,11.0586,9.292181,8.54767
server443,11.06532,9.278905,8.545996
server444,11.01537,9.28586,8.524852
server445,11.03028,9.293128,8.503812
server446,11.0227,9.294678,8.518437
server447,11.02633,9.28757,8.519347
server448,11.12474,9.289339,8.51753
server449,11.15314,9.285903,8.513007
server450,11.15643,9.284096,8.513924
server451,11.16033,9.28445,8.511961
server452,11.14425,9.284292,8.518269
server453,11.13652,9.278571,8.513786
server454,11.13432,9.276415,8.517376
server455,11.11294,9.278124,8.523625
server456,11.10807,9.28182,8.51115
server457,11.12536,9.275047,8.504289
server458,11.11262,9.279636,8.508093
server459,11.09693,9.279807,8.514305
server460,11.11111,9.281402,8.507261
server461,11.11171,9.288351,8.508168
server462,11.14736,9.289187,8.503804
server463,11.1425,9.291663,8.5231
server464,11.1457,9.293061,8.521343
server465,11.14623,9.284013,8.505296
server466,11.14942,9.286233,8.498369
server467,11.15258,9.267231,8.501887
server468,11.15574,9.263282,8.500195
server469,11.15743,9.249813,8.487802
server470,11.16056,9.244009,8.480977
server471,11.12961,9.238967,8.484723
server472,11.13016,9.244478,8.48566
server473,11.12017,9.25151,8.471181
server474,11.11286,9.254273,8.474707
server475,11.12915,9.261897,8.473103
server476,11.1114,9.261403,8.479159
server477,11.10937,9.261486,8.487733
server478,11.11776,9.262859,8.481032
server479,11.11313,9.264382,8.464228
server480,11.09587,9.256769,8.470463
server481,11.10681,9.250249,8.466369
server482,11.0945,9.228179,8.469842
server483,11.0774,9.220508,8.450916
server484,11.07914,9.21194,8.457275
server485,11.05957,9.205663,8.463463
server486,11.06053,9.208906,8.462134
server487,11.05611,9.220278,8.410773
server488,11.07207,9.21069,8.406871
server489,11.06511,9.222786,8.410427
server490,11.0607,9.215451,8.38922
server491,11.06501,9.212189,8.388085
server492,11.05838,9.227579,8.394331
server493,11.04675,9.220396,8.398092
server494,11.03739,9.212236,8.394268
server495,11.04619,9.203116,8.368836
server496,11.04994,9.200059,8.331297
server497,11.05063,9.210028,8.334959
server498,11.04412,9.20836,8.324211
server499,11.04482,9.198274,8.32059
server500,11.03559,9.193452,8.326673
server501,11.02916,9.193046,8.316013
server502,11.02,9.203076,8.319267
server503,11.02075,9.20873,8.30847
server504,11.02149,9.200278,8.307323
server505,11.02959,9.187949,8.296598
server506,11.02324,9.181975,8.305243
server507,11.0313,9.185878,8.299339
server508,11.03201,9.177107,8.305363
server509,11.02056,9.174924,8.294734
server510,11.02857,9.148656,8.296001
server511,11.02686,9.149811,8.301994
server512,11.02419,9.149242,8.300031
server513,11.01363,9.143244,8.301869
server514,11.00473,9.133471,8.298403
server515,11.00816,9.135254,8.297497
server516,11.02599,9.134068,8.29894
server517,11.03176,9.135052,8.298037
server518,11.01358,9.137515,8.304143
server519,11.02174,9.131839,8.29158
server520,25.60976,20.65491,15.47619
server521,22.89157,17.42739,14.11765
server522,22.22222,15.46573,15.11628
server523,11.17647,12.51022,15.8046
server524,9.345794,11.89024,15.2968
server525,8.398438,12.02577,15.26718
server526,8.5,13.04087,19.38111
server527,5.710102,12.65026,31.42037
server528,7.911803,12.20044,28.20839
server529,7.647059,9.290188,25.92166
server530,8.315565,8.053382,28.91441
server531,8.602151,7.632335,27.94258
server532,8.589512,7.589115,27.03901
server533,8.557047,7.64095,25.90461
server534,8.841941,7.732497,24.61656
server535,8.498168,6.824147,24.19239
server536,8.614748,11.76635,23.90277
server537,8.576998,11.75553,23.67919
server538,8.564387,11.73171,22.99336
server539,8.591467,11.76784,22.26674
server540,8.843159,11.19148,21.89542
server541,8.965517,11.23617,21.45455
server542,9.279919,11.21978,21.10228
server543,9.616319,11.06171,20.68474
server544,9.412861,11.0795,20.11861
server545,9.444942,11.17929,19.67572
server546,9.560724,10.90379,20.19393
server547,9.460581,10.6777,19.8619
server548,9.447558,10.67073,19.43574
server549,9.319412,10.72372,18.81151
server550,9.390198,10.69191,18.85756
server551,9.390863,10.24997,18.91412
server552,9.186906,9.943735,18.60145
server553,9.209622,9.959497,18.35911
server554,9.242576,10.01338,18.02155
server555,9.303079,10.0776,17.79258
server556,9.360227,10.01955,17.69966
server557,9.263804,9.975014,17.55702
server558,9.291903,10.03749,17.39258
server559,9.143856,9.891989,17.151
server560,9.201931,9.82684,16.8658
server561,9.562084,9.972254,16.75705
server562,9.661705,10.01039,16.49457
server563,9.756742,10.09253,16.37351
server564,9.741602,10.09395,16.22851
server565,9.805408,10.13261,16.16811
server566,9.718101,10.15597,16.01355
server567,9.634471,10.28391,15.88918
server568,9.675124,10.37904,15.7736
server569,9.597955,10.45097,15.63992
server570,9.589977,10.53115,15.44118
server571,9.604646,10.69603,15.29386
server572,9.618755,10.75771,15.1093
server573,9.601925,9.896837,15.08344
server574,9.622518,9.894713,15.06294
server575,9.610785,10.07979,15.01169
server576,9.605377,10.69243,14.96397
server577,9.66163,10.65141,14.91575
server578,9.692918,10.69027,14.8254
server579,9.546294,10.69884,14.68995
server580,9.562235,10.67481,14.6125
server581,9.656824,10.65647,14.56708
server582,9.709888,10.65042,14.48409
server583,9.800859,10.6352,14.44105
server584,9.915123,10.65544,14.43649
server585,9.884272,10.63916,14.32808
server586,9.649123,10.60801,8.995857
server587,9.494949,10.66329,14.33698
server588,9.795771,10.57957,14.63888
server589,9.863457,10.57674,14.74201
server590,9.798373,10.58896,8.958525
server591,9.754398,10.60072,14.80347
server592,9.813004,10.57115,14.79806
server593,9.802265,10.5007,14.71025
server594,9.775187,10.51996,14.72263
server595,9.716068,10.52048,14.57431
server596,9.563107,10.56093,8.987301
server597,9.444799,10.62659,14.5106
server598,9.471366,10.60549,14.54042
server599,9.513412,10.59978,14.53382
server600,9.556208,10.59586,14.52953
server601,9.477074,10.59288,14.52748
server602,9.457199,10.60049,14.47661
server603,9.425426,10.59308,14.44559
server604,9.479665,10.61542,14.35036
server605,9.540741,10.62017,14.28985
server606,9.543386,10.65389,14.28981
server607,9.535595,10.68151,14.28165
server608,9.53271,10.69632,14.18947
server609,9.600909,10.72162,14.14113
server610,9.557895,10.76345,14.04302
server611,9.570042,10.69906,13.97238
server612,9.6478,10.67131,14.6087
server613,9.630232,10.70811,14.63705
server614,9.62913,10.73823,14.73338
server615,9.40957,10.72522,14.67794
server616,9.249012,10.74447,14.48418
server617,9.313534,10.74542,14.34567
server618,9.36373,10.72442,14.39889
server619,9.375796,10.68062,14.46517
server620,9.372638,10.65608,14.41574
server621,9.419387,10.67823,14.3674
server622,9.467456,10.68969,14.34762
server623,9.54878,10.65225,14.25339
server624,9.592181,10.6676,14.2672
server625,9.598854,10.66376,14.23409
server626,9.581758,10.67466,14.17859
server627,9.529935,10.56784,14.11281
server628,9.562399,10.56433,14.08546
server629,10.00802,10.56354,8.729223
server630,10.23837,10.56201,14.07826
server631,10.29561,10.56116,14.06147
server632,10.30836,10.53022,14.04653
server633,10.33076,10.53224,13.98729
server634,10.38436,10.5401,13.93836
server635,10.3743,10.50417,13.91442
server636,10.38363,10.46606,13.83569
server637,10.41401,10.4466,13.82063
server638,10.4228,10.45672,13.74422
server639,10.40342,10.46997,13.78678
server640,10.41538,10.48565,13.72628
server641,10.44761,10.49344,13.71686
server642,10.32382,10.31861,12.82102
server643,10.27266,10.47014,12.57985
server644,10.23543,10.08053,12.59014
server645,10.23989,10.10152,12.57746
server646,10.20106,10.11503,12.60108
server647,10.16069,10.1141,12.57416
server648,10.18897,10.09604,12.54756
server649,10.14535,10.10286,12.54731
server650,10.12146,10.11683,12.53765
server651,10.09878,10.10028,12.5199
server652,10.06872,10.10578,12.50466
server653,10.03894,10.1067,12.48957
server654,10.05006,10.09057,12.46657
server655,9.997184,10.10199,12.42555
server656,10.05774,10.10796,12.43636
server657,10.08132,10.09033,12.43009
server658,10.06601,10.09808,12.37695
server659,9.99818,10.11089,12.38011
server660,9.994553,10.05194,12.35159
server661,9.987392,10.06987,12.36814
server662,9.996404,10.06614,12.35304
server663,9.999108,10.1038,12.33568
server664,10.02036,10.08055,12.29374
server665,10.05709,10.06188,12.25889
server666,10.05056,10.00345,12.21712
server667,10.02595,10.00429,12.19183
server668,10.03606,10.00021,12.16692
server669,10.03239,10.03124,12.18802
server670,10.02962,10.04693,12.14374
server671,9.921868,10.04203,12.30012
server672,9.933278,10.08659,11.99121
server673,9.878281,10.31371,12.02619
server674,9.873397,10.35964,12.01252
server675,9.918367,10.29495,11.99203
server676,9.962711,10.2873,12.40703
server677,9.997585,10.22777,13.02742
server678,10.01839,10.24959,13.04144
server679,10.05161,10.25842,13.05123
server680,10.02129,10.26181,8.930433
server681,10.01566,10.29505,13.0026
server682,10.056,10.31297,12.98208
server683,10.05209,10.33166,12.99234
server684,10.05595,10.3335,12.98741
server685,10.0497,10.33652,12.97756
server686,10.11096,10.33606,12.96479
server687,10.18763,10.33424,12.96717
server688,10.2719,10.32863,12.96954
server689,10.31935,10.3018,12.96644
server690,10.2958,10.29547,12.98382
server691,10.28016,10.29829,12.99356
server692,10.25718,10.29138,12.95165
server693,10.25103,10.29518,12.89025
server694,10.24379,10.2959,12.90463
server695,10.25109,10.23979,12.87129
server696,10.27301,10.25706,12.85991
server697,10.27272,10.26872,12.86295
server698,10.30149,10.24669,12.84469
server699,10.30102,10.23198,12.82665
server700,10.30055,10.2438,12.80885
server701,10.28584,10.24494,12.7704
server702,10.29256,10.23224,12.73934
server703,10.21471,10.2303,12.73614
server704,10.19691,10.20174,12.68186
server705,10.16914,10.20415,12.64493
server706,10.1556,10.21414,12.6288
server707,10.18365,10.23047,12.63981
server708,10.17159,10.23178,12.61889
server709,10.19239,10.24779,12.60985
server710,10.22542,10.23771,12.60933
server711,10.2406,10.19771,12.60499
server712,10.24052,10.18634,12.59615
server713,10.23374,10.17795,12.5482
server714,10.24801,10.13482,12.53669
server715,10.26851,10.10745,12.53567
server716,10.26442,10.11115,12.53565
server717,10.24506,10.11967,12.51531
server718,10.263,10.1243,12.49598
server719,10.27725,10.1262,12.47682
server720,10.269,10.11904,12.47206
server721,10.27446,10.11124,12.47535
server722,10.26939,10.11002,12.45328
server723,10.26336,10.10539,12.51654
server724,10.27024,10.10448,12.5094
server725,10.24512,10.11015,12.47742
server726,10.26471,10.12737,12.47677
server727,10.25949,10.1548,12.46457
server728,10.2738,10.15408,12.42876
server729,10.31102,10.10782,12.43981
server730,10.3354,10.10496,12.41438
server731,10.32928,10.08105,12.40203
server732,10.31029,10.08316,12.36508
server733,10.31722,10.10003,12.34789
server734,10.3356,10.09279,12.32422
server735,10.34107,10.11654,12.32958
server736,10.31641,10.10767,12.30552
server737,10.32192,10.09787,12.27005
server738,10.33333,10.114,12.25818
server739,10.32155,10.12572,12.23558
server740,10.31634,10.11527,12.2228
server741,10.31704,10.12319,12.1814
server742,10.31658,10.12617,12.15306
server743,10.32254,10.08813,12.13705
server744,10.33424,10.06445,12.13252
server745,10.35159,10.05169,12.11115
server746,10.34582,10.01584,12.1012
server747,10.3344,9.997235,12.07463
server748,10.31174,9.954714,12.07604
server749,10.30625,9.947358,12.04985
server750,10.34017,9.919963,12.02393
server751,10.35698,9.911237,12.00917
server752,10.37694,9.915831,11.97823
server753,10.38233,9.916567,11.95299
server754,10.41529,9.893804,11.91721
server755,10.42537,9.906545,11.92941
server756,10.42441,9.883959,11.89879
server757,10.42891,9.890413,11.90033
server758,10.44477,9.893785,11.89192
server759,10.43835,9.910402,11.87243
server760,10.43198,9.905807,11.85313
server761,10.415,10.04043,11.88093
server762,10.39286,9.985181,11.88252
server763,10.3815,9.879228,11.85828
server764,10.37462,9.908028,11.81856
server765,10.39547,9.905044,11.79091
server766,10.37381,9.913815,11.79798
server767,10.38873,9.918043,11.79485
server768,10.37765,9.925515,11.78164
server769,10.35282,9.913912,11.78541
server770,10.35225,9.888002,11.76235
